"filename", "language", "JavaScript", "JSON", "HTML", "JSON with Comments", "Vue", "Markdown", "CSS", "XML", "YAML", "comment", "blank", "total"
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\FooterBar.vue", "Vue", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\IconRounded.vue", "Vue", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 3, 36
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\JustboilLogo.vue", "Vue", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\NotificationBar.vue", "Vue", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 8, 59
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\NotificationBarInCard.vue", "Vue", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\NumberDynamic.vue", "Vue", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 13, 64
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\OverlayLayer.vue", "Vue", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 4, 48
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\RecipeModal.vue", "Vue", 0, 0, 0, 0, 117, 0, 0, 0, 0, 7, 13, 137
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\RecordBtnComponent.vue", "Vue", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\SalesSummary.vue", "Vue", 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 9, 115
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\ValidatedFormControl.vue", "Vue", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 4, 42
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\Veevalidate.vue", "Vue", 0, 0, 0, 0, 51, 0, 0, 0, 0, 21, 7, 79
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\YourForm.vue", "Vue", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 6, 21
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\aside\AsideMenu.vue", "Vue", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 6, 37
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\aside\AsideMenuItem.vue", "Vue", 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 11, 101
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\aside\AsideMenuLayer.vue", "Vue", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 9, 60
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\aside\AsideMenuList.vue", "Vue", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\base\BaseButton.vue", "Vue", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 14, 123
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\base\BaseButtons.vue", "Vue", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 6, 57
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\base\BaseDivider.vue", "Vue", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\base\BaseIcon.vue", "Vue", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
